,PCE,polarizability,delLA,delLD,N_atom,Eg,lamda_h,DIP,AL-DH,delHD,E_bind,DL-AL,delGE,E_T1,fMF,nHBAcc,apol,bpol,Vabc,MW,AMW,ABC,ABCGG,nAromAtom,nAromBond,C1SP2,C2SP2,C3SP2,C1SP3,HybRatio,FCSP3
160,4.83,2206.953,0.033470005,0.017143173,110,536.47,0.492741057,6.072784062,3.25883559,0.17905092,1.960635893,0.494430884,0.087606849,1.12,0.5773,22,269.846752,117.733248,1516.177552,1992.055824,10.26832899,109.5732362251264,66.20513446221106,100,102,2,66,18,10,0.1568627450980392,0.1568627450980392
161,4.8,357.462,0.033470005,1.91595369,26,389.92,0.230374587,7.51408002,4.342937209,0.080545703,2.854183967,0.257691826,2.668821832,1.5169,0.56,14,133.649376,62.330624,778.4863523,1004.070759,10.04070759,56.42537596910217,40.05391887746923,40,44,8,28,8,0,0.12,0.12
162,4.78,1503.830667,0.077824564,0.474566572,80,619.61,0.171335404,5.93045137,3.075430848,0.424497622,1.907689472,0.290073375,0.000141421,1.1185,0.4757,13,142.294169,52.995831,878.2384351,1007.11217,9.777788059,54.87589661397597,37.24586856385348,48,48,0,39,9,3,0.0588235294117647,0.0526315789473684
163,4.75,1355.186,0.033470005,0.03809594,58,461.41,0.360320112,6.279727196,3.476254564,0.492798201,1.933579741,0.541778696,1.097882885,1.916,0.5,14,193.541236,78.194764,1133.001148,1336.169276,9.278953307,74.55061954639362,49.36192708278377,70,70,2,50,16,4,0.1052631578947368,0.1025641025641025
164,4.73,1191.704,0.033470005,0.268304266,62,538.32,0.503153766,6.325451849,3.469995945,0.523547067,2.14681877,0.328169315,0.1718,1.1149,0.4364,16,147.930134,69.305866,902.7548209,1094.055703,9.945960936,57.43942463956482,41.63342556516061,40,40,4,32,8,4,0.1538461538461538,0.1481481481481481
165,4.72,816.6253333,0.033470005,0.788585967,40,445.14,0.402621844,6.539614981,3.587549133,0.61606578,1.772267285,0.171703846,31.16195222,2.1156,0.5385,8,133.801341,46.988659,831.1852832,875.2831152,8.4161838,52.53579667093396,34.32268219620789,48,48,0,44,8,0,0.0188679245283018,0.0169491525423728
166,4.7,894.7536667,0.033470005,0.249800524,48,527.16,0.421969684,6.185030213,3.34482357,0.593208215,2.134584342,0.470484864,0.611928967,1.5771,0.6203,12,117.047032,65.982968,642.4488416,881.9503977,11.16392909,45.90663616081078,32.81587781259538,48,50,0,32,4,2,0.1,0.1
167,4.7,1445.205667,0.077824564,0.075375539,62,454.94,0.421188989,6.447060077,3.560065633,0.393204528,2.072007487,0.636746433,0.022712992,1.9711,0.3375,14,214.573096,135.326904,1246.769943,1412.178085,8.826113029,70.44370029023833,51.56139960733879,42,44,2,30,8,16,0.3636363636363636,0.3428571428571428
168,4.68,1210.772333,0.033470005,0.042721876,68,439.05,0.340211442,6.547089676,3.692857197,0.307216548,2.121652941,0.593752443,2.270762854,1.9514,0.4667,16,165.953306,73.082694,962.3444818,1198.035168,9.983626399,62.958379518614585,43.83784731311532,56,59,2,38,12,6,0.1333333333333333,0.1290322580645161
169,4.67,544.0436667,0.033470005,1.450911103,28,398.22,0.420065975,6.56762747,3.606052875,0.500145275,2.400968597,0.905867041,4.870111063,2.3354,0.5571,6,90.925411,39.234589,540.0680355,613.1316255,8.759023221,34.64095021738684,23.0925919963206,30,30,1,29,3,0,0.0555555555555555,0.0555555555555555
170,4.66,566.5823333,0.033470005,1.84057815,34,490.11,0.288445045,6.520950147,3.602243281,0.715387339,2.290212801,0.394837211,0.61980292,1.2935,0.5303,6,79.414825,31.349175,466.9433887,544.1798355,8.245149023,33.829102119523604,24.761301776166608,25,27,1,19,6,0,0.2352941176470588,0.1764705882352941
171,4.65,950.4173333,0.033470005,0.237827514,56,541.49,0.334194188,5.974121018,3.111349878,0.580690978,2.023540876,0.518649018,0.006051446,1.2979,0.4286,8,84.922204,45.109796,519.131739,600.1388786,8.573412552,33.064976196934225,25.891173521104022,22,22,2,20,4,0,0.1875,0.1875
172,4.65,566.7406667,0.033470005,1.830509938,34,489.52,0.275245618,6.510003823,3.59299141,0.720013274,2.299937256,0.420415914,0.493495238,1.312,0.5303,6,79.414825,31.349175,466.9433887,544.1798355,8.245149023,33.829102119523604,24.864538285472307,25,27,1,19,6,0,0.2352941176470588,0.1764705882352941
