name,fMF,nHBAcc,nHBDon,Lipinski,GhoseFilter,apol,bpol,Vabc,MW,AMW
Cc1ccc(s1)-c1c2ccsc2c(-c2ccc(C)s2)c2cc(sc12)-c1c(F)c(F)c(-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2c(F)c(F)c(-c3cc4c(-c5ccc(C)s5)c5sccc5c(-c5ccc(C)s5)c4s3)c3nsnc23)c2nsnc12,0.6363636363636364,18,0,0,0,192.8061340000004,81.57386600000011,1047.1022327339217,1481.9122540960007,11.226607985575763
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5517241379310345,16,0,0,0,167.93572000000052,77.26428000000011,958.7055617606146,1243.917972520001,10.723430797586216
COC(=O)C(=C\\c1ccc(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc2c(-c3ccc(C)s3)c3sc(cc3c(-c3ccc(C)s3)c2s1)-c1sc(cc1C)-c1sc(cc1C)-c1ccc(\\C=C(/C#N)C(=O)OC)s1)\\C#N,0.45614035087719296,16,0,0,0,157.9397200000006,71.07628000000012,921.6899177663383,1148.0195177600012,10.070346647017555
CN1C(=S)S\\C(=C\\c2ccc(s2)-c2sc(cc2C)-c2sc(cc2C)-c2cc3c(cc4c5sc(cc5c(cc4c3s2)-c2ccc(C)s2)-c2cc(C)c(s2)-c2cc(C)c(s2)-c2ccc(\\C=C3\\SC(=S)N(C)C3=O)s2)-c2ccc(C)s2)C1=O,0.5573770491803278,16,0,0,0,175.94930600000055,79.27069400000012,999.3601258128185,1293.933622584001,10.60601329986886
Cc1ccc(s1)-c1ccc(s1)-c1cnc(-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2cc3c(-c4ccc(C)s4)c4sc(cc4c(-c4ccc(C)s4)c3s2)-c2cc3c(s2)-c2sc(cc2[Si]3(C)C)-c2ncc(-c3ccc(s3)-c3ccc(C)s3)c3nsnc23)c2nsnc12,0.6119402985074627,20,0,0,0,201.15889200000044,116.30110800000014,1073.7321851827214,1447.925592468001,10.805414869164187
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(cc2C)-c2cc3c(-c4ccc(s4)-c4ccc(C)s4)c4sc(cc4c(-c4ccc(s4)-c4ccc(C)s4)c3s2)-c2cc(C)c(s2)-c2ccc(s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.5692307692307692,18,0,0,0,189.76289200000053,86.19710800000011,1077.0327388136511,1407.8934146480008,10.82994934344616
COC(=O)c1nc2c(-c3ccc(s3)-c3ccc(C)s3)c(F)c(F)c(-c3cc4c(-c5cc(C)c(C)s5)c5sc(cc5c(-c5cc(C)c(C)s5)c4s3)-c3c(F)c(F)c(-c4ccc(s4)-c4ccc(C)s4)c4nc(C(=O)OC)c(nc34)C(=O)OC)c2nc1C(=O)OC,0.47692307692307695,20,0,0,0,171.12930600000053,81.24269400000011,1018.0866091865199,1326.0704451840008,10.200541886030775
Cc1cc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2\\sc(=C(C#N)C#N)n(C)c2=O)cc1C,0.47107438016528924,19,0,0,0,168.30930600000056,76.63069400000013,993.2881243330403,1230.0297055840012,10.165534756892573
CN1C(=O)S\\C(=C/c2sc(-c3cc4c(-c5ccc(C)s5)c5sc(cc5c(-c5ccc(C)s5)c4s3)-c3sc(\\C=C4/SC(=O)N(C)C4=S)c4cc(C)sc34)c3sc(C)cc23)C1=S,0.5681818181818182,14,0,0,0,130.7542040000001,60.3057960000001,741.8753912599182,999.879930136001,11.362271933363647
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2cc3sc(cc3s2)-c2sc(cc2C)-c2cc3c(-c4cc(C)c(C)s4)c4sc(cc4c(-c4cc(C)c(C)s4)c3s2)-c2cc(C)c(s2)-c2cc3sc(cc3s2)-c2sc(\\C=C3/SC(=S)N(C)C3=O)cc2C)C1=O,0.546875,18,0,0,0,186.42289200000053,86.19710800000013,1047.7136862614202,1383.8934146480008,10.811667301937506
Cc1cc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)sc1-c1cc(C)c(s1)-c1cc(C)c(s1)-c1ccc(s1)-c1sc(cc1C)-c1sc(cc1C)-c1sc(\\C=c2/sc(=C(C#N)C#N)n(C)c2=O)cc1C,0.46534653465346537,17,0,0,0,140.4749620000003,63.68503800000011,840.3689768322895,1038.022963328001,10.277455082455456
CN1C(=S)S\\C(=C/c2sc(-c3cc4c(C)c5sc(cc5c(C)c4s3)-c3sc(\\C=C4/SC(=S)N(C)C4=O)c4sc(C)cc34)c3cc(C)sc23)C1=O,0.5405405405405406,12,0,0,0,108.92703200000003,51.372968000000064,623.5482142068818,835.9044880080008,11.296006594702714
CN1c2ccc(cc2Oc2cc(ccc12)-c1ccc(-c2sc(C=C(C#N)C#N)cc2C)c2nsnc12)-c1ccc(-c2sc(C=C(C#N)C#N)cc2C)c2nsnc12,0.525,14,0,0,0,109.448239,43.19976100000004,661.8520127353862,809.0908403560006,10.113635504450007
COc1c2cc(sc2c(OC)c2cc(sc12)-c1ccc2N(C)c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3Sc2c1)-c1ccc2N(C)c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3Sc2c1,0.5660377358490566,12,0,0,0,139.4765480000003,56.31945200000008,825.3033069279509,984.1456208720011,9.28439264973586
CN1C(=S)S\\C(=C/c2cc(C)c(s2)-c2ccc(s2)-c2sc(-c3sc(-c4sc(-c5ccc(s5)-c5sc(\\C=C6/SC(=S)N(C)C6=O)cc5C)c5cc(C)sc45)c4C(=O)N(C)C(=O)c34)c3sc(C)cc23)C1=O,0.56,17,0,0,0,146.70858300000046,69.22141700000009,855.1757205632528,1140.868379472001,11.408683794720009
